Date,Close,High,Low,Open,Volume,Return,Log_returns,Volatility,Volume_change,Volume_group,Volume_moving_average,RSI,RSI_group
2023-04-03,59106.44,59204.82,58793.08,59131.16,4300.0,0.002,0.002,0.008,-0.338,Low,6315.0,59.849,Medium
2023-04-05,59689.31,59747.12,59094.4,59094.71,5000.0,0.01,0.01,0.008,0.163,Low,6105.0,69.218,High
2023-04-06,59832.97,59950.06,59520.12,59627.01,4700.0,0.002,0.002,0.008,-0.06,Low,6045.0,75.561,High
2023-04-10,59846.51,60109.11,59766.23,59858.98,11000.0,0.0,0.0,0.008,1.34,Medium,6270.0,75.197,High
2023-04-11,60157.72,60267.68,59919.88,60028.6,6900.0,0.005,0.005,0.008,-0.373,Low,6230.0,74.946,High
2023-04-12,60392.77,60437.64,60094.69,60180.2,5900.0,0.004,0.004,0.008,-0.145,Low,6210.0,82.754,High
2023-04-13,60431.0,60486.91,60081.43,60364.41,6600.0,0.001,0.001,0.008,0.119,Low,6140.0,80.91,High
2023-04-17,59910.75,60407.86,59442.47,60385.9,15200.0,-0.009,-0.009,0.008,1.303,High,6390.0,70.231,High
2023-04-18,59727.01,60113.47,59579.3,59991.26,7300.0,-0.003,-0.003,0.008,-0.52,Low,6375.0,72.046,High
2023-04-19,59567.8,59745.89,59452.72,59745.89,7800.0,-0.003,-0.003,0.008,0.068,Low,6370.0,76.521,High
2023-04-20,59632.35,59836.79,59489.98,59586.61,6600.0,0.001,0.001,0.007,-0.154,Low,6385.0,76.135,High
2023-04-21,59655.06,59781.36,59412.81,59538.79,5700.0,0.0,0.0,0.007,-0.136,Low,6345.0,77.09,High
2023-04-24,60056.1,60101.64,59620.11,59873.71,6600.0,0.007,0.007,0.007,0.158,Low,6400.0,77.417,High
2023-04-25,60130.71,60268.67,59967.02,60202.77,6500.0,0.001,0.001,0.007,-0.015,Low,6725.0,69.877,High
2023-04-26,60300.58,60362.79,59954.91,60087.98,4500.0,0.003,0.003,0.007,-0.308,Low,6695.0,70.444,High
2023-04-27,60649.38,60698.31,60271.49,60315.56,5500.0,0.006,0.006,0.006,0.222,Low,6650.0,67.869,High
2023-04-28,61112.44,61209.46,60507.83,60721.61,7200.0,0.008,0.008,0.006,0.309,Low,6710.0,71.283,High
2023-05-02,61354.71,61486.24,61255.0,61301.61,6700.0,0.004,0.004,0.006,-0.069,Low,6820.0,73.314,High
2023-05-03,61193.3,61274.96,61024.44,61274.96,6100.0,-0.003,-0.003,0.006,-0.09,Low,6830.0,66.785,High
2023-05-04,61749.25,61797.91,61119.56,61258.13,8100.0,0.009,0.009,0.006,0.328,Low,6910.0,69.915,High
2023-05-05,61054.29,61585.5,61002.17,61163.1,5600.0,-0.011,-0.011,0.006,-0.309,Low,6975.0,57.671,Medium
2023-05-08,61764.25,61854.19,61166.09,61166.09,7900.0,0.012,0.012,0.006,0.411,Low,7120.0,71.795,High
2023-05-09,61761.33,62027.51,61654.94,61879.68,6900.0,-0.0,-0.0,0.006,-0.127,Low,7230.0,74.984,High
2023-05-10,61940.2,61974.35,61572.93,61843.36,4800.0,0.003,0.003,0.006,-0.304,Low,6920.0,78.995,High
2023-05-11,61904.52,62168.22,61823.07,62158.1,6100.0,-0.001,-0.001,0.006,0.271,Low,6880.0,77.968,High
2023-05-12,62027.9,62110.93,61578.15,61857.69,7000.0,0.002,0.002,0.006,0.148,Low,6935.0,78.501,High
2023-05-15,62345.71,62562.67,61950.3,62157.1,6900.0,0.005,0.005,0.006,-0.014,Low,6950.0,78.062,High
2023-05-16,61932.47,62475.95,61847.41,62474.11,5900.0,-0.007,-0.007,0.006,-0.145,Low,6485.0,70.39,High
2023-05-17,61560.64,61979.94,61340.1,61932.32,6700.0,-0.006,-0.006,0.006,0.136,Low,6455.0,63.637,High
2023-05-18,61431.74,61955.9,61349.34,61937.86,8200.0,-0.002,-0.002,0.005,0.224,Low,6475.0,58.89,Medium
2023-05-19,61729.68,61784.61,61251.7,61556.25,6100.0,0.005,0.005,0.005,-0.256,Low,6450.0,57.287,Medium
2023-05-22,61963.68,62044.46,61579.78,61579.78,5600.0,0.004,0.004,0.005,-0.082,Low,6445.0,57.204,Medium
2023-05-23,61981.79,62245.19,61914.4,62098.16,8400.0,0.0,0.0,0.005,0.5,Low,6535.0,59.654,Medium
2023-05-24,61773.78,62154.14,61708.1,61834.28,5900.0,-0.003,-0.003,0.005,-0.298,Low,6505.0,50.328,Medium
2023-05-25,61872.62,61934.01,61484.66,61706.13,8400.0,0.002,0.002,0.005,0.424,Low,6700.0,63.033,Medium
2023-05-26,62501.69,62529.83,61911.61,61985.36,9200.0,0.01,0.01,0.005,0.095,Low,6885.0,62.055,Medium
2023-05-29,62846.38,63026.0,62801.54,62801.54,9600.0,0.006,0.005,0.006,0.043,Low,7005.0,65.955,High
2023-05-30,62969.13,63036.12,62737.4,62839.85,7800.0,0.002,0.002,0.005,-0.188,Low,7060.0,65.384,High
2023-05-31,62622.24,62876.77,62401.02,62839.97,7300.0,-0.006,-0.006,0.005,-0.064,Low,7120.0,59.817,Medium
2023-06-01,62428.54,62762.41,62359.14,62736.47,8000.0,-0.003,-0.003,0.005,0.096,Low,7115.0,55.377,Medium
2023-06-02,62547.11,62719.84,62379.86,62601.97,6300.0,0.002,0.002,0.005,-0.213,Low,7150.0,52.855,Medium
2023-06-05,62787.47,62943.2,62751.72,62759.19,6100.0,0.004,0.004,0.005,-0.032,Low,7060.0,62.747,Medium
2023-06-06,62792.88,62867.95,62554.21,62738.35,8100.0,0.0,0.0,0.005,0.328,Low,7120.0,70.625,High
2023-06-07,63142.96,63196.43,62841.95,62917.39,6900.0,0.006,0.006,0.005,-0.148,Low,7225.0,76.668,High
2023-06-08,62848.64,63321.4,62789.73,63140.17,11000.0,-0.005,-0.005,0.005,0.594,Medium,7470.0,67.458,High
2023-06-09,62625.63,62992.16,62594.74,62810.68,41400.0,-0.004,-0.004,0.005,2.764,High,9190.0,60.363,Medium
2023-06-12,62724.71,62804.89,62615.2,62659.98,4900.0,0.002,0.002,0.005,-0.882,Low,9090.0,61.343,Medium
2023-06-13,63143.16,63177.47,62777.04,62779.14,5500.0,0.007,0.007,0.005,0.122,Low,9070.0,69.646,High
2023-06-14,63228.51,63274.03,63013.51,63115.48,11900.0,0.001,0.001,0.005,1.164,Medium,9330.0,69.528,High
2023-06-15,62917.63,63310.96,62871.08,63153.78,6700.0,-0.005,-0.005,0.005,-0.437,Low,9255.0,56.595,Medium
2023-06-16,63384.58,63520.36,62957.17,62960.73,5500.0,0.007,0.007,0.005,-0.179,Low,9225.0,58.215,Medium
2023-06-19,63168.3,63574.69,63047.83,63474.21,1400.0,-0.003,-0.003,0.004,-0.745,Low,9015.0,52.956,Medium
2023-06-20,63327.7,63440.19,62801.91,63176.77,5000.0,0.003,0.003,0.005,2.571,Low,8845.0,61.086,Medium
2023-06-21,63523.15,63588.31,63315.62,63467.46,10600.0,0.003,0.003,0.005,1.12,Medium,9080.0,67.191,High
2023-06-22,63238.89,63601.71,63200.63,63601.71,7300.0,-0.004,-0.004,0.005,-0.311,Low,9025.0,60.327,Medium
2023-06-23,62979.37,63240.63,62874.12,63124.28,7300.0,-0.004,-0.004,0.005,0.0,Low,8930.0,52.848,Medium
2023-06-26,62970.0,63136.09,62853.67,62946.5,4400.0,-0.0,-0.0,0.005,-0.397,Low,8670.0,52.626,Medium
2023-06-27,63416.03,63467.54,63054.84,63151.85,4800.0,0.007,0.007,0.005,0.091,Low,8520.0,53.937,Medium
2023-06-28,63915.42,64050.44,63554.82,63701.78,6300.0,0.008,0.008,0.004,0.312,Low,8470.0,64.52,High
2023-06-30,64718.56,64768.58,64068.44,64068.44,29700.0,0.013,0.012,0.005,3.714,High,9555.0,74.602,High
2023-07-03,65205.05,65300.35,64836.16,64836.16,8800.0,0.008,0.007,0.005,-0.704,Low,9680.0,76.722,High
2023-07-04,65479.05,65672.97,65171.06,65503.85,6600.0,0.004,0.004,0.005,-0.25,Low,9705.0,75.974,High
2023-07-05,65446.04,65584.33,65256.49,65493.68,7400.0,-0.001,-0.001,0.005,0.121,Low,9670.0,74.949,High
2023-07-06,65785.64,65832.98,65328.29,65391.88,8600.0,0.005,0.005,0.005,0.162,Low,9755.0,82.06,High
2023-07-07,65280.45,65898.98,65175.74,65559.41,14300.0,-0.008,-0.008,0.005,0.663,Medium,9920.0,71.013,High
2023-07-10,65344.17,65633.49,65246.4,65482.33,14400.0,0.001,0.001,0.005,0.007,High,8570.0,74.961,High
2023-07-11,65617.84,65870.59,65517.57,65598.65,9800.0,0.004,0.004,0.005,-0.319,Medium,8815.0,75.601,High
2023-07-12,65393.9,65811.64,65320.25,65759.28,7400.0,-0.003,-0.003,0.005,-0.245,Low,8910.0,70.78,High
2023-07-13,65558.89,66064.21,65452.15,65667.07,9500.0,0.003,0.003,0.005,0.284,Low,8790.0,76.472,High
2023-07-14,66060.9,66159.79,65610.82,65775.49,10800.0,0.008,0.008,0.005,0.137,Medium,8995.0,83.317,High
2023-07-17,66589.93,66656.21,66015.63,66148.18,9200.0,0.008,0.008,0.005,-0.148,Low,9180.0,85.185,High
2023-07-18,66795.14,67007.02,66574.47,66828.96,8200.0,0.003,0.003,0.005,-0.109,Low,9520.0,84.457,High
